Manufacturer,ASIN,Description
Motherly,B07DMKJJB4,
Korrun India Pvt. Ltd,B088XG77KN,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
Freewill Sports Private Limited,B071H3HLVV,"Nivia String backpacks are typically lightweight, flexible, and stretchy, and can be folded up into a small size for easy storage. They are often used as shopping bags, beach bags, or as a way to carry items when traveling or hiking. They are often lightweight, compact, and easy to fold or roll up, making them convenient to store or carry in a purse or backpack when not in use.   Nivia Strings Backpack are Designed for all types of occasions: Sports, daily use, cycling, etc.   The basic Duffle Bag has strong and durable robe with resistant to wear and tear, and is not easily fray or break. Also resist moisture, mildew, and UV rays.   The main compartment of this  bag is the heart of the bag which is spacious for all your valuables.   Strings Backpack are Highly water-Resistance finish to save inner items from water splashes   We have an excellent range of gym bags with a wide range of designs, and colors with stylish contoured designs these duffle bags are made from tough polyester with attractive patterns .These bags comes with right size to hold all your gym essentials, such as workout clothes, shoes, water bottle, and towels. Also comes with durable and sturdy materials that can withstand the wear and tear of frequent use.  Nivia String backpacks design allows it to stretch and expand, making it ideal for carrying a variety of items of different shapes and sizes."
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07FM9BSKW,"Fur Jaden is inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. Fur Jaden brings to you a stylish gray multi-feature back pack, that distinguishes you from the crowd. Its features include Anti-theft zipper configuration, on the go charging port, water-resistance, lightweight and spacious design.   This one backpack can serve you on different missions of your busy and adventurous life style.   The Anti-theft feature is apt to protect your gadgets and belongings from being stolen while you travel. The zipper is enclosed on the back and is hidden from the views of those who try to pickpocket without your awareness.   The backpack features multiple compartments that you may use for your laptop and other essentials. There is also a zipper enclosed compartment to let you carry maps, documents or other light and slender materials.   Use this bag all year round, and keep your laptop and other belongings safe from dust and stains or unexpected showers. This Fur Jaden backpack is made of water-resistant polymer material.   Weighing less than a kilogram, the backpack is capable of housing a laptop of up to 15.6 inches. The backpack does not impose much weight on the user.   A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock, you may connect a portable power bank with ease. You can connect a battery pack on the inside of your bag to your device on the outside.   The straps are adjustable. They are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
Kushal Rubber Industries,‎B09VLK27NF,
A. H. Creation,B083N53TWB,"Nylon, Inner Material: Polyester   50 Liters   Grey &Red   This grey and Grey with Red backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with Red undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B2581S9,
"Flab International Pvt. Ltd., Flab International Pvt. Ltd, 357E, Pace City 2, Sector 37, Gurugram, Haryana - 122001Gurugram, Haryana",B07S63LC4P,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093",B07XG935R9,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B0757K36YV,
"EXPERTS, China",B0BTD4S4XF,
"Texcoco Enterprises, 9958166528",B09WZKHSDR,"Registered by company that professional in design and produce laptop sleeve, case, bag, briefcase, backpack and other related bags over 16 years. We are aimed to offer customers high quality products with competitive prices under rich factory experience and exquisite craftsmanship.   This business backpack for men has a laptop compartment to store laptops up to 15.6 inch and keyboards, a wide opening design of main compartment for books, clothes. and the front compartment contains small multifunctional pockets for storing data cables and other items to keep your belongings organized. Highlights are mentioned below:   The shoulder strap of this 15.6 laptop backpack with padded shoulder strap are designed to be comfortable and breathable, helping to relieve the pressure on the shoulders and back. Highlights are mentioned below:   Water-resistant and scratch-resistant fabric. As Everyday backpack, Work backpack, Study bookbag, Business laptop backpack for men women adult teens or daily use at anywhere. Lightweight and sturdy backpack ensure a secure & long-lasting usage every day. Highlights are mentioned below:   Suitable for a variety of occasions, perfects for weekend getaways, shopping, office work, school, college, business traveling and other outdoor activities. Also, it is a perfect student’s backpack for women, men, teens, boys and girls. This practical large lightweight laptop backpack is ready for anywhere. Highlights are mentioned below:"
"Ambrosia Bags, B-42, 2nd Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844",B07CDD6YS2,"The Killer Louis backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.   Featuring padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.   This bag features buckle 3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket   Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks."
AirCase,B07FJV79CX,"Fabric material for durability and strength and water resistant feature prevents your belongings from getting wet.This material is also Airport Security Friendly, no need to remove while checking.   Inner layer of soft white plush prevents your devices from scratches while daily loading/ unloading process.   Sturdy swivel snap hook allows you to attach shoulder strap. So it can instantaneously change the handle bag into sleeve.   Large and comfortable handle helps to reduce strain over hand while carrying. You can hide handle when note in use means while using as messenger bag.   It helps to hide front pocket zipper.   You can store ID card in slot on strap for quick access. At the same time it avoid misplacing of ID card.   With the help of adjustable buckle on strap, you can adjust the size for better fit. Extra padding helps to reduce stress over shoulders.   Compatible with Macbook and all other laptop with screen size upto 13-14-inch.   Size Options: 13-14 Inches |15.6 Inches

Color Option: Grey | Black"
"Lavie, Bagzone Lifestyle Pvt Ltd",B08JDG1NKX,
"Tinytot, www.adda3.com",B09C5J2MN7,"The hunt for a perfect bag can sometimes be difficult. It’s all a balance of finding the right shape, style, and size to suit a bunch of varying study needs each day. We’re here to make the selection process a little bit easier with our Tinytot backpacks for high school going children that look awesome and are super comfortable.   Tinytot made this durable backpack with polyester material which stands as a comfortable backpack for students who still need to carry a full load of books. With a 20-liter volume, it’s big enough to carry everything you’ll need for the whole day, from class to gym to after-school activities, and even to use for a weekend trip.   Our bags are made of polyester material which is durable and waterproof alsoit is resistant to wear and tear and can be easily cleaned at home. The backpack has a dimension of 41 x 31 x 15 cm.   With a capacity of 20 liters, it holds the most of your school essentials. This extra space came in handy when stuffing a raincoat in the roomy front pocket. When left unfilled, the bag’s other compartment and pockets lie flat and make it much less bulky-looking.   Backpack is equipped with comfortable adjustable padded shoulder straps that evenly distribute weight. Slider zipper provides easy access to the entire compartment without any hassle.   This backpack is designed by keeping in mind the need for school going students; it has one main big compartment, one small compartment followed by one small section where you could stash a wallet or keys. Other than that, it has a zip pocket on the front of the bag which enhances the look of the backpack.   It has two mesh side pockets that can stretch wide enough to easily settle water bottles or other essentials that can be adjusted in that space. This backpack has a special feature of straps that are designed to let the weight of the backpack managed properly without increasing the burden   The wide bottom of this sturdy backpack allows to properly align the backpack below the shoulder and above hips also this backpack stands upright when placed on the ground. This wide bottom provides an efficient base to the backpack and keeps your books and laptop well stacked.   The segmented back panel and perforated foam shoulder straps let airflow between your shirt and the bag, which allows heat to escape from your shoulders and chest. The straps are shaped to keep the bag close to your body regardless of how full it is and are padded from top to bottom."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B0BVRJYD9Q,
"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd",B08R563J3T,
A. H. Creation,B083N3DCTM,"Nylon, Inner Material: Polyester   50 Liters   Grey & Navy Blue   This grey and Grey with navy blue backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with navy blue undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
Flab International Pvt. Ltd.,B076QFBFRG,"Solimo Laptop Bag is segregated into two compartments, including a padded laptop compartment which is ideal for carrying laptops up to 15.6 inches. The second compartment includes an organiser, allowing you to manage your space better.   This laptop backpack sports utilitarian dimensions of 32 x 15 x 44 cm (L x B x H), allowing you to carry your laptop in a safe manner. The two side bottle pockets provided in Solimo Laptop Bag prove to be highly useful when travelling, allowing you quick access to drinks, tickets, headphones etc. without having to open the whole backpack.   Night reflectors on Solimo Laptop Bag are an excellent addition. The reflectors add visibility, allowing the traffic to spot you with ease when you walk down a road at night, enhancing safety.   Solimo Laptop Bag will last for a long time, thanks to its polyester make which allows it wear-resistance. Carrying your laptop to work becomes more convenient with a sturdy laptop bag ."
Motherly,B07PKQ3WJZ,
Medela,B075R5R1LR,"Mother’s milk is amazing. It’s the best start in life your baby can have. At Medela, we’re committed to giving mothers everywhere the support they need to feed their babies their amazing mother’s milk for as long as possible. It contains everything your baby needs to grow and develop – the right amounts of proteins, fats, lactose, vitamins, iron, minerals, water and enzymes.   Medela has been working with researchers in breast milk for nearly 60 years. We’re here to support every breast milk feeding mother with our knowledge, our expertise and our unique range of products, including our Swiss-made breast pumps, the trusted choice of healthcare professionals worldwide. Like every Medela product, from nursing bras to nipple shields to storage bags and more, they are designed to help make feeding your baby mother’s milk easier and more comfortable."
"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",B08R7S55H4,
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07PS38XSP,"This rucksack   is compact and lightweight in nature. It securely accommodates your   belongings and day to day essentials. It is ideal for regular usage due to   its efficient build.   The bag   has a conveniently accessible pocket on its front side. This pocket can store   small items. It is easy to open and also spacious. It is ideal for items that   need to be accessed often or instantly.   The bag   is versatile and has an extensive utility. Not only can it be used for   day-to-day purposes, but also for hiking, trekking, or any outdoor activities.   It is suitable for numerous uses.   The bag   has an ergonomic design that evenly distributes the weight within it and   makes it an apt alternative to bulky backpacks. This makes the bag easy to   carry.   The material   used to fabricate this bag is durable and sturdy. This makes the bag a   suitable accessory for carrying weighted items. It also elongates the   lifetime and usage span of the bag.   This bag   is extensively accommodating even though it is medium in size. It is   lightweight and has a depth of capacity within its single compartment of 10 L   volume."
Bagneeds,B0855F8174,"Made from rich quality Synthetic leather with durable polyester lining, it comes with a removable & adjustable shoulder strap. The bag has a  classy distressed Vintage inspired look which never goes out of style.   The laptop padding fits 15.6 inch laptop while the compartments and front and interior pockets helps organize for all your needs making it suitable for a short business trip or a quick weekend getaway.   With a multipurpose use and a classy look, this bag is a great gift idea for Fathers Day ,Mother’s Day,Birthdays , Valentines Day , Festivals, Graduation, or any occasion which calls for a gift ."
"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560156",B075Y6Y9H5,
"Narendar Plastics Pvt.Ltd, Narendar Plastics Pvt.Ltd , Survey no.436/1&2, Village Dabhel,Daman-396210(U.T.) Ph no :+91-22-26852500",B0821PN8L4,"These convenient garbage bags do not need any tearing and hence are ready to use. They come handy in various urgent situations such as cleaning a messy office or restaurant.   These garbage bags make cleaning and garbage disposal a hassle-free task while being easy on the environment. They come in black color and a range of small, medium and large sizes for your convenience.   Ideal for use in homes, offices and hotels, these bags come handy in various situations. They can be effectively used for kitchen clean-up and even getting rid of leaky baby diapers and pet litter."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990",B09B5DMGM1,"Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.   A USB charging connector is available on the laptop backpack, which is perfect for charging your phone or other electronic devices when in need.   This bag features a dedicated laptop pocket for a 15.6-inch laptop and a large area with sufficient space for your clothes etc. and side pockets for an umbrella and water bottle.   More space is created when one compartment expands to a length of 5–6 cm.   Puffed handles & back to assist you with comfort.   Crafted from high-quality nylon material"
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",B08R7S55H4,
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07PS38XSP,"This rucksack   is compact and lightweight in nature. It securely accommodates your   belongings and day to day essentials. It is ideal for regular usage due to   its efficient build.   The bag   has a conveniently accessible pocket on its front side. This pocket can store   small items. It is easy to open and also spacious. It is ideal for items that   need to be accessed often or instantly.   The bag   is versatile and has an extensive utility. Not only can it be used for   day-to-day purposes, but also for hiking, trekking, or any outdoor activities.   It is suitable for numerous uses.   The bag   has an ergonomic design that evenly distributes the weight within it and   makes it an apt alternative to bulky backpacks. This makes the bag easy to   carry.   The material   used to fabricate this bag is durable and sturdy. This makes the bag a   suitable accessory for carrying weighted items. It also elongates the   lifetime and usage span of the bag.   This bag   is extensively accommodating even though it is medium in size. It is   lightweight and has a depth of capacity within its single compartment of 10 L   volume."
Bagneeds,B0855F8174,"Made from rich quality Synthetic leather with durable polyester lining, it comes with a removable & adjustable shoulder strap. The bag has a  classy distressed Vintage inspired look which never goes out of style.   The laptop padding fits 15.6 inch laptop while the compartments and front and interior pockets helps organize for all your needs making it suitable for a short business trip or a quick weekend getaway.   With a multipurpose use and a classy look, this bag is a great gift idea for Fathers Day ,Mother’s Day,Birthdays , Valentines Day , Festivals, Graduation, or any occasion which calls for a gift ."
"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",B084C84GTR,
Wesley,B07K8KLB3P,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.   Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.   The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety.   It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials."
Wesley,B085S444JV,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.   Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
"Texcoco Enterprises, 9958166528",B09WZHX3B1,"Registered by company that professional in design and produce laptop sleeve, case, bag, briefcase, backpack and other related bags over 16 years. We are aimed to offer customers high quality products with competitive prices under rich factory experience and exquisite craftsmanship.   External:17 x 11 x 4.1 inch / 43x 26 x 11 cm (L x W x H);   Internal:16.7. x 10x 3.9 inch / 42 x 25.5 x 9.9cm (L x W x H);   Padded shoulder straps, offers light-weight carrying and of force reinforcement.   Water-resistant and scratch-resistant fabric.As a Everyday backpack, Work backpack, Study bookbag, Business laptop backpack for men women adult teens or daily use at anywhere.   Suitable for a variety of occasions, perfects for weekend getaways, shopping, office work, school, college, business traveling and other outdoor activities."
Wooum,B0993Q72WD,"Spacious Storage   The laptop bag contains 4 Zip Pocket storage compartments for your iPad, tablet, mobile, diary, money, wallet, and other electronic gadget accessories and 1 Velcro compartment for small accessories.   Superior Material   The bag is made with superior quality fabric which not only looks good but also offers you utmost comfort.   Suitable For   The laptop bag is made suitable for men & women both which can be used on a daily basis   The laptop bag contains 4 Zip Pocket storage compartments for your iPad, tablet, mobile, diary, money, wallet, and other electronic gadget accessories and 1 Velcro compartment for small accessories.   The bag is made with superior quality fabric which not only looks good but also offers you utmost comfort.   The laptop bag is made suitable for men & women both which can be used on a daily basis."
"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd",B08R563J3T,
A. H. Creation,B083N3DCTM,"Nylon, Inner Material: Polyester   50 Liters   Grey & Navy Blue   This grey and Grey with navy blue backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with navy blue undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
House of Quirk,B07QV7SH4S,"Accompany parents and kids to spend a wonderful and interesting future time. A good helper for your ravel.   An artful balance of fashion and function, House of Quirk modern diaper bag backpack hold all your baby's gear.Diaper   Can be carried by hand, on the shoulder, put on the suitcase and also can be hung on the stroller. One bag is for multi-purpose.   Our Diaper bag has a streamlined design, great construction and all the functionality parents need in a diaper bag.   Perfect for both mom and dad, this backpack has all the must-have features of a classic diaper bag for the ultimate organization, easy-grab handles, mommy pocket for your belongings, as well as custom hardware D-rings for stroller.   We are determined to provide mom and dad with a backpack that is both practical and convenient. With different prints and styles to choose from, and are also great gifts for newborns.   Diaper bag backpack we are wear-resistant and durable test, carefully selected waterproof fabric made, you can rest assured that you can use.   We will be responsible for each buyer, if you have any questions, you can contact with us in time, we will provide you with the best quality solutions."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B071XJ6XV5,
Protecta Inc,B07GNCRCP4,"Introducing The Professional Office Laptop Bag - the perfect companion for your daily commute or business travels. With a spacious interior that can accommodate laptops with screens up to 15.6 inches, you'll be able to bring along all your essential devices and documents.   Carry this bag with ease using the padded shoulder strap or the grab handles, whichever suits your style. The well-designed front pocket provides convenient storage for frequently used items, while the innovative back pocket converts into a luggage pass-through by simply opening the bottom zipper.   Made from strong, water-repellent fabric, this bag is not only lightweight but also built to withstand the elements. And with its variety of print designs to choose from, you can express your personal style while staying organised and professional. So whether you're commuting through the city or exploring a new destination, you can trust The Professional Office Laptop Bag to keep your belongings safe and dry."
House of Quirk,B07MMGBD1J,
Half_Moon(Amazing Bags),B09S3ZK3N1,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",B08X2KR6T9,"Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar backpack is designed thoughtfully for your perfect on the go lifestyle.   Made for maximum Comfort, it has padded breathable mesh back and adjustable straps. S-curved Ergo-Grip straps that distribute weight evenly over your shoulders and back.   We aim to provide optimal organisation with 3 main compartments, premium zippers, 2 front pocketS and 2 side water bottle pockets along with easy to carry top Loop.   Premium quality zips that are durable for smooth operations.   Elasticated Strap Lock secures your laptop or belongings in place.   Inner Pocket allows for easy organisation of your things."
"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai  400093",B07MXNWTB2,
"Gear, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B0757MBSS6,"Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.   These backpack is ergonomically  designed for all ages, genders and  purposes. Made of PU polyester  material, this bag is ideal for use as a  college bag, casual backpack,  laptop bag or a work bag.   21 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
